dutch_name;color;behavior;shape;habitat;when_to_spot;rarity;characteristics;image_credit;image_author_reference;image_wikimedia_source;image_license;image_license_url
nachtegaal;4;10;;3&7;Zomerhalfjaar;;;;;;;
nachtzwaluw;;10;;3;Zomerhalfjaar;;;;;;;
nijlgans;;;7;;Gehele jaar;;;;;;;
nonnetje;3;5;6;;Winterhalfjaar;;;;;;;
noordse pijlstormvogel;;;;10;Winterhalfjaar;;;;;;;
noordse stern;;4;;9;Zomerhalfjaar;;;Jamumiwa;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
noordse stormvogel;;;;10;Winterhalfjaar;;;;;;;
notenkraker;5;;;1;Najaar;4;;;;;;
oehoe;;;1;;Gehele jaar;4;;;;;;
oeverloper;;7&8;;6;Mei en nazomer;;;;;;;
oeverpieper;4;;;;Winterhalfjaar;;;;;;;
oeverzwaluw;6;1;;6;Zomerhalfjaar;;;;;;;
ooievaar;3;9;;4;Gehele jaar;;;;;;;
paapje;12;;;3;Zomerhalfjaar;;;;;;;
paarse strandloper;;8;;;Gehele jaar;;;;;;;
papegaaiduiker;;;9;10;Winterhalfjaar;;;;;;;
parelduiker;;;;10;Winterhalfjaar;;;;;;;
patrijs;5;;;4;Gehele jaar;;;;;;;
pestvogel;8&14;;10;1;Winterhalfjaar;;;;;;;
pijlstaart;;;6&11;;Winterhalfjaar;;;;;;;
pimpelmees;10;;;1;Gehele jaar;1;;Francis Franklin;https://commons.wikimedia.org/wiki/User:Baresi_franco;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
pontische meeuw;;;4;;Winterhalfjaar;;;;;;;
porseleinhoen;;10;;5;Zomerhalfjaar;;;;;;;
purperreiger;;9;10;3&4;Zomerhalfjaar;;;;;;;
putter;8&10&11&13;;;1&2;Gehele jaar;1;;Francis Franklin;https://commons.wikimedia.org/wiki/User:Baresi_franco;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
raaf;2;;5;;Gehele jaar;;;;;;;
ralreiger;;;;5;Zomerhalfjaar;;;;;;;
ransuil;;;1;;Gehele jaar;;;;;;;
regenwulp;;7&8;9;8;Winterhalfjaar;;;;;;;
reuzenstern;;4;;;Nazomer;;;;;;;
rietgans;;;7;;Winterhalfjaar;;;;;;;
rietgors;6;;;5;Gehele jaar;;;;;;;
rietzanger;;2;;5;Zomerhalfjaar;;;;;;;
ringmus;4;;;1&4;Gehele jaar;1;;;;;;
rode wouw;;;2;;Zomerhalfjaar;;;;;;;
roek;2;;5&9;2&4;Gehele jaar;;;;;;;
roerdomp;5;9&10;;5;Gehele jaar;;;;;;;
roodborst;12;;;1;Gehele jaar;1;;Francis Franklin;https://commons.wikimedia.org/wiki/User:Baresi_franco;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
roodborsttapuit;12;;;3&7;Zomerhalfjaar;;;;;;;
roodhalsfuut;;;;10;Winterhalfjaar;;;;;;;
roodhalsgans;12;;7;;Winterhalfjaar;;;;;;;
roodkeelduiker;;;;10;Winterhalfjaar;;;;;;;
roodmus;12;;;7;Zomerhalfjaar;;;;;;;
roodpootvalk;11;;2;;Mei en augustus;4;;;;;;
rosse franjepoot;;;;8;Najaar;;;;;;;
rosse grutto;12;8;;8;Winterhalfjaar;;;;;;;
rosse stekelstaart;;;6&11;;Gehele jaar;;;;;;;
rotgans;;;7;;Winterhalfjaar;;;;;;;
rouwkwikstaart;3;;;;Voorjaar;4;;;;;;
ruigpootbuizerd;;1;2;;Winterhalfjaar;;;;;;;
scharrelaar;8;;;;Gehele jaar;4;;;;;;
scholekster;3;7&8;9;2&4&8;Gehele jaar;1;;;;;;
sijs;7&10;;;2&3;Gehele jaar;;;;;;;
slangenarend;;;2;;Zomerhalfjaar;4;;;;;;
slechtvalk;;;2;2&8;Gehele jaar;;;;;;;
slobeend;11;;6&9;4;Gehele jaar;;;;;;;
smelleken;;;2;8;Gehele jaar;;;;;;;
smient;11&12;;6;;Winterhalfjaar;;;;;;;
sneeuwgans;1;;7;;Winterhalfjaar;;;;;;;
sneeuwgors;;;;9;Winterhalfjaar;;;;;;;
